date,Open,High,Low,Final,Volume,Close
2010-07-07,11676,11676,11676,11676,124026,11676
2010-07-17,11670,11670,11670,11670,3350,11670
2010-07-18,12136,12136,12130,12136,53714,12136
2010-07-19,12621,12621,12619,12463,30192,12619
2010-07-20,12610,12848,12600,12468,1240,12600
2010-07-21,11970,12000,11970,12359,9816,11970
2010-07-24,11952,12853,11952,12095,140318,12852
2010-07-25,12577,12577,12096,12098,1500,12096
2010-07-26,12098,12580,12098,12111,1151679,12580
2010-07-28,12595,12595,11627,12074,44410,12550
2010-07-31,11612,12556,11612,11810,50840,12556
2010-08-01,12279,12282,11801,12028,41100,11801
2010-08-02,11760,11900,11547,11641,54631,11547
2010-08-03,11547,11547,11176,11261,41694,11201
2010-08-04,11000,11700,11000,11274,42765,11500
2010-08-07,11680,11680,11680,11285,1260,11680
2010-08-08,11680,11680,11110,11314,5459,11680
2010-08-09,11304,11304,10870,10893,57600,10870
2010-08-10,11328,11328,11328,11228,34500,11328
2010-08-15,10797,10797,10797,10797,100,10797
2010-08-16,10366,10420,10366,10728,8032,10416
2010-08-17,10419,10728,10300,10320,115587,10728
2010-08-18,10313,10732,10313,10399,9905,10732
2010-08-21,10814,10814,10814,10515,12505,10814
2010-08-22,10935,10935,10935,10568,5700,10935
2010-08-23,10990,10990,10990,10945,40000,10990
2010-08-24,11382,11382,11382,11202,26361,11382
2010-08-28,11650,11650,11648,11650,95517,11650
2010-08-29,11800,11900,11750,11671,5356,11898
2010-08-30,11799,11799,11790,11676,1601,11799
2010-08-31,11600,11600,11250,11667,2133,11250
2010-09-04,11301,11301,11201,11385,27449,11201
2010-09-05,10930,11111,10930,11309,12290,11111
2010-09-06,10933,10933,10932,11291,2150,10933
2010-09-07,10840,10850,10840,11200,9066,10850
2010-09-08,10850,10850,10850,11184,2000,10850
2010-09-13,10860,10860,10860,11169,2010,10860
2010-09-14,10860,10860,10850,11154,2153,10850
2010-09-15,11154,11154,11154,11154,7942,11154
2010-09-18,11154,11156,11154,11154,3547,11156
2010-09-19,11200,11380,11200,11157,2238,11380
2010-09-21,11200,11201,11200,11163,6000,11200
2010-09-22,11202,11202,11202,11165,2434,11202
2010-09-26,11204,11204,10900,11146,4051,10900
2010-09-28,10701,10750,10701,11123,2430,10701
2010-09-29,10700,10700,10700,11104,2000,10700
2010-10-02,10700,10700,10660,10661,59197,10660
2010-10-03,10235,10235,10235,10556,11000,10235
2010-10-05,10134,10134,10134,10517,4180,10134
2010-10-06,10134,10134,10100,10451,7204,10100
2010-10-10,10033,10033,10033,10442,920,10033
2010-10-11,10025,10025,10025,10363,8460,10025
2010-10-17,9949,9949,9949,10311,5600,9949
2010-10-18,9899,10000,9899,10099,23429,10000
2010-10-19,9696,9696,9696,10097,200,9696
2010-10-20,9697,9697,9697,10052,5000,9697
2010-10-25,9999,10000,9947,10038,9216,9947
2010-10-26,9801,9801,9707,10025,2100,9707
2010-10-27,10025,10309,10025,10034,19420,10309
2010-10-30,10050,10052,10050,10034,779,10052
2010-10-31,10300,10300,10063,10038,2483,10063
2010-11-01,10061,10061,10061,10038,123,10061
2010-11-03,10000,10000,10000,10000,50000,10000
2010-11-06,10000,10000,10000,10000,1250,10000
2010-11-07,10000,10000,10000,10000,1111,10000
2010-11-14,10000,10000,10000,10000,1056,10000
2010-11-15,10000,10000,9650,9943,7607,9650
2010-11-16,9649,9650,9649,9935,1193,9650
2010-11-20,9600,9600,9550,9907,3389,9550
2010-11-22,9997,10000,9997,9926,9137,10000
2010-11-24,9600,10195,9600,9600,1317261,10195
2010-11-27,9600,9600,9600,9600,1000,9600
2010-11-28,9900,9900,9900,9610,1564,9900
2010-11-29,9650,9650,9650,9610,120,9650
2010-11-30,9651,9651,9651,9610,500,9651
2010-12-04,9611,9611,9611,9610,2460,9611
2010-12-06,9651,9651,9651,9611,1000,9651
2010-12-07,9650,9650,9650,9615,4498,9650
2010-12-08,9900,9995,9900,9627,1640,9995
2010-12-13,10012,10012,10012,9648,2449,10012
2010-12-18,10033,10033,10033,9668,2318,10033
2010-12-19,10054,10054,10033,9698,3696,10033
2010-12-20,10085,10085,10010,9711,1690,10010
2010-12-21,10099,10099,10099,9712,146,10099
2010-12-25,10100,10100,10099,9792,9210,10100
2010-12-26,10183,10183,10183,9811,2194,10183
2010-12-27,10203,10203,10203,10022,24110,10203
2010-12-28,10422,10422,10422,10039,1850,10422
2011-01-02,10440,10440,10440,10440,2327185,10440
2011-01-03,10857,10857,10856,10857,45562,10857
2011-01-04,11291,11291,11000,11000,20670,11010
2011-01-05,11279,11279,11000,11111,2404058,11000
2011-01-08,10900,11198,10750,10811,2311825,11197
2011-01-09,11188,11243,11188,11175,38275,11243
2011-01-10,11500,11554,11401,11319,22922,11404
2011-01-11,11400,11407,11400,11334,8258,11400
2011-01-12,11400,11400,11400,11335,615,11400
2011-01-15,11335,11413,11335,11339,4300,11413
2011-01-16,11420,11499,11405,11367,13051,11405
2011-01-17,11410,11410,10913,11249,67315,10913
2011-01-18,11000,11390,10800,11022,38000,10800
2011-01-19,10601,10699,10601,10995,2977,10620
2011-01-22,10557,10887,10556,10881,11807,10556
2011-01-24,10446,10446,10446,10718,16758,10446
2011-01-29,10800,10900,10800,10725,2640,10900
2011-02-01,10353,10353,10353,10725,50,10353
2011-02-06,10308,10308,10308,10696,3168,10308
2011-02-07,10400,10400,10308,10677,2615,10308
2011-02-08,10317,10317,10317,10675,200,10317
2011-02-09,10500,10500,10500,10668,1810,10500
2011-02-12,10500,10500,10352,10649,3000,10352
2011-02-13,10355,10355,10224,10356,34039,10224
2011-02-14,9942,9942,9942,10273,9000,9942
2011-02-15,9903,9903,9903,10254,2257,9903
2011-02-16,9844,9844,9844,10204,5475,9844
2011-02-19,9796,9796,9796,10054,16483,9796
2011-02-20,9652,9652,9652,10002,5751,9652
2011-02-22,9605,9605,9602,9777,25249,9602
2011-02-23,9700,9710,9401,9407,236010,9710
2011-02-26,9783,9783,9603,9604,2011500,9783
2011-02-27,9988,9988,9700,9703,1878192,9988
2011-02-28,9770,10090,9770,9803,27302,10090
2011-03-01,10020,10020,10000,9843,8632,10000
2011-03-02,9850,9850,9500,9836,3202,9500
2011-03-05,9600,9600,9600,9826,1806,9600
2011-03-06,9625,9725,9625,9701,51046,9725
2011-03-07,9740,9740,9733,9703,2954,9733
2011-03-08,9720,9720,9601,9698,11798,9601
2011-03-12,9574,9577,9573,9575,156160,9576
2011-03-15,9958,9958,9958,9622,5544,9958
2011-03-19,9700,9800,9601,9646,26357,9601
2011-03-28,9650,9650,9650,9646,436,9650
2011-03-29,9752,9999,9752,9649,566,9900
2011-03-30,9820,9820,9802,9660,2952,9802
2011-04-03,9900,9900,9850,9672,2327,9900
2011-04-04,9900,10058,9900,9847,20378,10058
2011-04-05,10100,10240,10100,9892,6397,10240
2011-04-06,10287,10287,10250,9918,3000,10250
2011-04-09,10300,10314,10300,10168,28300,10314
2011-04-11,10250,10250,10250,10176,4461,10250
2011-04-13,10245,10245,9801,10160,3047,9801
2011-04-16,9850,9850,9754,10059,11236,9754
2011-04-17,9657,9657,9657,10026,3674,9657
